ticker,security,sector,cashRatio,currentRatio,earningsBeforeInterestAndTax,grossProfit,netCashFlow,quickRatio
TRIP,TripAdvisor,Consumer Disc.,212,277,249000000,1434000000,159000000,277
UA,Under Armour,Consumer Disc.,27,313,401313000,1905547000,-463323000,149
UPS,United Parcel Service,Industrials,44,123,7683000000,45416000000,439000000,123
URBN,Urban Outfitters,Consumer Disc.,73,229,363450000,1174930000,-87500000,127
V,Visa Inc.,Tech.,132,187,8998000000,11801000000,1547000000,187
VIAB,Viacom Inc.,Consumer Disc.,13,119,3160000000,6400000000,-494000000,98
VZ,Verizon Communications,Telecoms,14,64,33160000000,79063000000,-6128000000,60
WDC,Western Digital,Tech.,163,263,1626000000,4221000000,220000000,221
WFC,Wells Fargo,Financials,,,36654000000,0,-460000000,
WFM,Whole Foods Market,Consumer Staples,41,123,878000000,5416000000,47000000,83
WHR,Whirlpool Corp.,Consumer Disc.,10,89,1196000000,3690000000,-254000000,55
WLTW,Willis Towers Watson,Financials,,,482000000,3829000000,-59000000,
WU,Western Union Co,Tech.,16,57,1109700000,2284300000,-467300000,57
WYN,Wyndham Worldwide,Consumer Disc.,9,96,1041000000,2836000000,-12000000,80
WYNN,Wynn Resorts Ltd,Consumer Disc.,198,226,590153000,1545509000,-102075000,219
XOM,Exxon Mobil.,Energy,7,79,22277000000,93898000000,-911000000,49
XRX,Xerox Corp.,Tech.,26,127,412000000,5263000000,-43000000,109
YHOO,Yahoo Inc.,Tech.,459,588,-4813176000,2890553000,-1032187000,588
